name,birthdate,nationality
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Tom Hanks,1956-07-09,USA
Robert Downey Jr.,1965-04-04,USA
Denzel Washington,1954-12-28,USA
Scarlett Johansson,1984-11-22,USA
Angelina Jolie,1975-06-04,USA
Jennifer Lawrence,1990-08-15,USA
Chris Evans,1981-06-13,USA
Matt Damon,1970-10-08,USA
Tom Cruise,1962-07-03,USA
Anne Hathaway,1982-11-12,USA
Morgan Freeman,1937-06-01,USA
Will Smith,1968-09-25,USA
Natalie Portman,1981-06-09,USA
